Xi,Yi,Zi,Xj,Yj,Zj,Item,Lij,Uij,Cij
17,0,b,21,1,a,8 X 18 TABLES,0,100000000,4.180253413
25,0,b,21,1,a,30 STAND-UP ROUNDS,0,100000000,4.478494584
30,0,b,31,1,a,30 COCKTAIL ROUNDS,0,100000000,4.728876867
13,0,b,31,1,a,SETS OF STAGE STEPS,0,100000000,2.325592851
25,0,b,4,1,a,6 X 30 TABLES,0,100000000,7.481309925
13,0,b,3,1,a,24RISERS 6 X 8,0,100000000,5.219834309
2,0,b,10,1,a,MEETING ROOM CHAIRS,0,100000000,4.895150678
31,0,b,11,1,a,30 COCKTAIL ROUNDS,0,100000000,6.81758426
13,0,b,32,1,a,6 X 30 TABLES,0,100000000,5.515843054
2,0,b,10,1,a,6 X 30 TABLES,0,100000000,4.895150678
7,0,b,18,1,a,8 X 18 TABLES,0,100000000,1.817870772
7,0,b,24,1,a,PODIUMS,0,100000000,7.75859946
19,0,b,2,1,a,16RISERS 6 X 8,0,100000000,0.946357599
7,0,b,20,1,a,8 X 30 TABLES,0,100000000,7.773661433
5,0,b,33,1,a,SETS OF STAGE STEPS,0,100000000,3.068842678
30,0,b,17,1,a,66 ROUND TABLES,0,100000000,1.01202492
35,0,b,13,1,a,30 STAND-UP ROUNDS,0,100000000,9.163265239
36,0,b,26,1,a,16RISERS 6 X 8,0,100000000,7.713923412
32,0,b,3,1,a,PODIUMS,0,100000000,0.218276226
5,0,b,28,1,a,6 X 30 TABLES,0,100000000,5.251762637
16,0,b,5,1,a,66 ROUND TABLES,0,100000000,3.785293785
11,0,b,5,1,a,30 STAND-UP ROUNDS,0,100000000,7.121692121
10,0,b,24,1,a,30 STAND-UP ROUNDS,0,100000000,5.727219733
17,0,b,24,1,a,16RISERS 6 X 8,0,100000000,7.675887062
5,0,b,19,1,a,PODIUMS,0,100000000,3.774715599
9,1,b,t,2,a,6 X 18 TABLES,0,1000000000,0
14,0,b,36,1,a,SETS OF STAGE STEPS,0,100000000,8.890403937
15,0,b,30,1,a,16RISERS 6 X 8,0,100000000,4.575238944
28,0,b,5,1,a,MEETING ROOM CHAIRS,0,100000000,4.648067128
9,0,b,15,1,a,6 X 18 TABLES,0,100000000,5.607819675
24,0,b,25,1,a,30 STAND-UP ROUNDS,0,100000000,7.607099594
19,0,b,28,1,a,66 ROUND TABLES,0,100000000,2.27901298
27,0,b,7,1,a,MEETING ROOM CHAIRS,0,100000000,6.141055224
7,0,b,11,1,a,30 COCKTAIL ROUNDS,0,100000000,3.609271349
31,0,b,31,1,a,6 X 18 TABLES,0,100000000,3.004492902
15,0,b,6,1,a,8 X 18 TABLES,0,100000000,8.79005477
32,0,b,20,1,a,8 X 18 TABLES,0,100000000,9.63756786
2,1,b,t,2,a,PODIUMS,0,1000000000,0
33,0,b,14,1,a,24RISERS 6 X 8,0,100000000,8.386696806
31,0,b,26,1,a,30 STAND-UP ROUNDS,0,100000000,3.148156353
23,0,b,15,1,a,PODIUMS,0,100000000,8.445827704
20,0,b,4,1,a,8 X 18 TABLES,0,100000000,6.80020209
1,0,b,24,1,a,PODIUMS,0,100000000,3.275830619
20,0,b,23,1,a,SETS OF STAGE STEPS,0,100000000,7.20948002
9,0,b,10,1,a,8 X 18 TABLES,0,100000000,7.982909031
19,0,b,3,1,a,SETS OF STAGE STEPS,0,100000000,9.604182977
28,0,b,23,1,a,SETS OF STAGE STEPS,0,100000000,3.423512908
10,0,b,22,1,a,30 STAND-UP ROUNDS,0,100000000,9.765886158
31,0,b,35,1,a,30 COCKTAIL ROUNDS,0,100000000,7.758140879
32,0,b,7,1,a,24RISERS 6 X 8,0,100000000,4.030649362
30,0,b,29,1,a,30 STAND-UP ROUNDS,0,100000000,7.341554896
13,0,b,5,1,a,30 STAND-UP ROUNDS,0,100000000,6.251987744
11,0,b,20,1,a,PODIUMS,0,100000000,5.735166177
29,0,b,19,1,a,PODIUMS,0,100000000,3.058034732
7,0,b,10,1,a,66 ROUND TABLES,0,100000000,0.006740957
33,0,b,9,1,a,16RISERS 6 X 8,0,100000000,5.184735273
8,0,b,11,1,a,8 X 18 TABLES,0,100000000,5.736935364
29,0,b,17,1,a,8 X 18 TABLES,0,100000000,5.762758499
8,0,b,35,1,a,30 STAND-UP ROUNDS,0,100000000,9.485756815
22,0,b,31,1,a,8 X 30 TABLES,0,100000000,9.725298547
34,0,b,25,1,a,6 X 30 TABLES,0,100000000,4.596976635
23,0,b,25,1,a,8 X 18 TABLES,0,100000000,7.815372785
19,0,b,1,1,a,16RISERS 6 X 8,0,100000000,3.137675084
8,1,b,t,2,a,6 X 18 TABLES,0,1000000000,0
3,0,b,10,1,a,6 X 30 TABLES,0,100000000,2.220025724
32,0,b,16,1,a,24RISERS 6 X 8,0,100000000,8.297883189
11,0,b,12,1,a,8 X 30 TABLES,0,100000000,2.881449705
4,0,b,22,1,a,30 STAND-UP ROUNDS,0,100000000,3.725540957
13,0,b,17,1,a,8 X 30 TABLES,0,100000000,5.720238404
31,0,b,2,1,a,MEETING ROOM CHAIRS,0,100000000,8.815103206
3,0,b,21,1,a,MEETING ROOM CHAIRS,0,100000000,1.927614518
29,0,b,31,1,a,6 X 30 TABLES,0,100000000,7.206485287
2,0,b,19,1,a,16RISERS 6 X 8,0,100000000,4.679461875
25,0,b,12,1,a,24RISERS 6 X 8,0,100000000,1.154448874
27,0,b,19,1,a,24RISERS 6 X 8,0,100000000,1.911460628
8,0,b,3,1,a,30 COCKTAIL ROUNDS,0,100000000,6.864319142
33,0,b,3,1,a,30 COCKTAIL ROUNDS,0,100000000,2.567353703
4,0,b,12,1,a,24RISERS 6 X 8,0,100000000,3.488297613
23,0,b,35,1,a,30 COCKTAIL ROUNDS,0,100000000,7.445739399
36,0,b,16,1,a,6 X 18 TABLES,0,100000000,8.270919429
26,0,b,11,1,a,30 STAND-UP ROUNDS,0,100000000,4.458758077
18,0,b,11,1,a,66 ROUND TABLES,0,100000000,2.376375949
29,0,b,7,1,a,16RISERS 6 X 8,0,100000000,5.273300095
5,0,b,13,1,a,24RISERS 6 X 8,0,100000000,5.533434352
27,0,b,36,1,a,30 COCKTAIL ROUNDS,0,100000000,2.711914805
23,0,b,18,1,a,MEETING ROOM CHAIRS,0,100000000,1.845298199
26,0,b,26,1,a,MEETING ROOM CHAIRS,0,100000000,3.787598097
10,0,b,20,1,a,16RISERS 6 X 8,0,100000000,8.742910146
16,0,b,1,1,a,24RISERS 6 X 8,0,100000000,1.91035508
18,0,b,5,1,a,8 X 18 TABLES,0,100000000,6.120454327
23,0,b,24,1,a,6 X 18 TABLES,0,100000000,2.191686345
23,0,b,15,1,a,6 X 18 TABLES,0,100000000,8.445827704
11,0,b,21,1,a,PODIUMS,0,100000000,0.237077318
2,0,b,29,1,a,24RISERS 6 X 8,0,100000000,1.958559192
8,0,b,2,1,a,8 X 30 TABLES,0,100000000,0.563431847
29,0,b,22,1,a,30 COCKTAIL ROUNDS,0,100000000,8.814032226
28,0,b,14,1,a,8 X 18 TABLES,0,100000000,8.870010613
9,0,b,21,1,a,24RISERS 6 X 8,0,100000000,5.284276918
9,0,b,20,1,a,SETS OF STAGE STEPS,0,100000000,9.199961713
25,0,b,36,1,a,24RISERS 6 X 8,0,100000000,2.267514326
33,0,b,8,1,a,66 ROUND TABLES,0,100000000,7.105649904
21,0,b,26,1,a,8 X 30 TABLES,0,100000000,7.984416649
5,0,b,8,1,a,PODIUMS,0,100000000,0.883117482
9,0,b,1,1,a,8 X 30 TABLES,0,100000000,2.461787768
8,0,b,1,1,a,30 COCKTAIL ROUNDS,0,100000000,9.361110328
5,0,b,16,1,a,MEETING ROOM CHAIRS,0,100000000,2.71984099
27,0,b,21,1,a,66 ROUND TABLES,0,100000000,9.557791556
35,0,b,3,1,a,6 X 30 TABLES,0,100000000,3.83177662
22,0,b,30,1,a,PODIUMS,0,100000000,7.578994202
27,0,b,33,1,a,24RISERS 6 X 8,0,100000000,1.854520388
2,0,b,6,1,a,MEETING ROOM CHAIRS,0,100000000,3.041613056
29,0,b,23,1,a,SETS OF STAGE STEPS,0,100000000,8.093722527
3,0,b,14,1,a,SETS OF STAGE STEPS,0,100000000,9.717384507
10,0,b,34,1,a,30 COCKTAIL ROUNDS,0,100000000,5.678633554
6,0,b,25,1,a,SETS OF STAGE STEPS,0,100000000,5.895017298
8,0,b,26,1,a,66 ROUND TABLES,0,100000000,2.697087696
1,0,b,5,1,a,PODIUMS,0,100000000,9.860231894
17,0,b,16,1,a,24RISERS 6 X 8,0,100000000,4.112374941
18,0,b,31,1,a,MEETING ROOM CHAIRS,0,100000000,8.705935845
34,0,b,20,1,a,6 X 30 TABLES,0,100000000,4.233548123
24,0,b,27,1,a,PODIUMS,0,100000000,4.058381922
2,0,b,23,1,a,8 X 18 TABLES,0,100000000,7.420376705
16,0,b,25,1,a,30 COCKTAIL ROUNDS,0,100000000,8.870902918
7,0,b,1,1,a,8 X 30 TABLES,0,100000000,4.753286181
14,0,b,8,1,a,PODIUMS,0,100000000,0.900243666
11,0,b,26,1,a,6 X 30 TABLES,0,100000000,0.304587806
6,0,b,22,1,a,30 COCKTAIL ROUNDS,0,100000000,5.451814154
9,0,b,31,1,a,MEETING ROOM CHAIRS,0,100000000,8.404611776
26,0,b,18,1,a,30 COCKTAIL ROUNDS,0,100000000,3.488577068
6,0,b,5,1,a,8 X 30 TABLES,0,100000000,6.248422369
3,0,b,33,1,a,24RISERS 6 X 8,0,100000000,9.024559028
27,0,b,23,1,a,8 X 30 TABLES,0,100000000,4.217170513
13,0,b,6,1,a,8 X 18 TABLES,0,100000000,2.638080372
3,0,b,14,1,a,8 X 18 TABLES,0,100000000,9.717384507
32,0,b,29,1,a,30 COCKTAIL ROUNDS,0,100000000,0.220111848
29,0,b,4,1,a,SETS OF STAGE STEPS,0,100000000,3.323047327
14,0,b,25,1,a,8 X 30 TABLES,0,100000000,3.099200203
32,0,b,7,1,a,SETS OF STAGE STEPS,0,100000000,4.030649362
27,0,b,14,1,a,24RISERS 6 X 8,0,100000000,1.937728607
33,0,b,6,1,a,MEETING ROOM CHAIRS,0,100000000,4.811472879
28,0,b,27,1,a,30 STAND-UP ROUNDS,0,100000000,8.691610086
21,0,b,16,1,a,PODIUMS,0,100000000,8.767616438
30,0,b,14,1,a,SETS OF STAGE STEPS,0,100000000,2.948597598
23,0,b,13,1,a,16RISERS 6 X 8,0,100000000,9.46713717
10,1,b,t,2,a,16RISERS 6 X 8,0,1000000000,0
9,0,b,20,1,a,8 X 18 TABLES,0,100000000,9.199961713
24,0,b,16,1,a,24RISERS 6 X 8,0,100000000,4.407603569
12,0,b,5,1,a,8 X 30 TABLES,0,100000000,0.476940356
31,0,b,3,1,a,8 X 18 TABLES,0,100000000,3.070009542
19,0,b,26,1,a,66 ROUND TABLES,0,100000000,3.563597015
16,0,b,25,1,a,24RISERS 6 X 8,0,100000000,8.870902918
31,1,b,t,2,a,8 X 30 TABLES,0,1000000000,0
35,0,b,11,1,a,30 STAND-UP ROUNDS,0,100000000,4.758909893
34,0,b,28,1,a,24RISERS 6 X 8,0,100000000,7.581737049
18,0,b,5,1,a,SETS OF STAGE STEPS,0,100000000,6.120454327
31,0,b,26,1,a,SETS OF STAGE STEPS,0,100000000,3.148156353
2,0,b,13,1,a,PODIUMS,0,100000000,8.913465759
29,1,b,t,2,a,6 X 18 TABLES,0,1000000000,0
36,0,b,23,1,a,8 X 30 TABLES,0,100000000,9.020043129
30,0,b,23,1,a,8 X 30 TABLES,0,100000000,8.928563811
1,0,b,8,1,a,8 X 18 TABLES,0,100000000,1.152382716
36,0,b,16,1,a,8 X 30 TABLES,0,100000000,8.270919429
36,0,b,14,1,a,8 X 30 TABLES,0,100000000,9.364260352
4,0,b,7,1,a,SETS OF STAGE STEPS,0,100000000,7.492329152
29,0,b,24,1,a,6 X 30 TABLES,0,100000000,6.825371877
1,0,b,21,1,a,30 COCKTAIL ROUNDS,0,100000000,5.633638857
27,0,b,2,1,a,6 X 18 TABLES,0,100000000,6.89650987
12,0,b,36,1,a,24RISERS 6 X 8,0,100000000,0.931303232
18,0,b,13,1,a,8 X 18 TABLES,0,100000000,4.826477166
2,0,b,3,1,a,PODIUMS,0,100000000,6.838178696
7,0,b,26,1,a,16RISERS 6 X 8,0,100000000,6.2124019
31,0,b,29,1,a,30 COCKTAIL ROUNDS,0,100000000,4.62746577
5,0,b,18,1,a,MEETING ROOM CHAIRS,0,100000000,6.553787452
8,0,b,33,1,a,66 ROUND TABLES,0,100000000,3.77680079
21,0,b,1,1,a,30 COCKTAIL ROUNDS,0,100000000,6.419955736
27,0,b,26,1,a,24RISERS 6 X 8,0,100000000,5.986509411
24,0,b,3,1,a,66 ROUND TABLES,0,100000000,8.611424339
22,0,b,24,1,a,30 COCKTAIL ROUNDS,0,100000000,2.935498894
24,0,b,15,1,a,SETS OF STAGE STEPS,0,100000000,1.565356977
19,0,b,18,1,a,6 X 18 TABLES,0,100000000,1.305781817
26,0,b,5,1,a,30 COCKTAIL ROUNDS,0,100000000,7.075276525
24,0,b,14,1,a,24RISERS 6 X 8,0,100000000,8.947521206
36,0,b,1,1,a,30 COCKTAIL ROUNDS,0,100000000,9.025082035
29,0,b,36,1,a,MEETING ROOM CHAIRS,0,100000000,8.939627928
22,0,b,13,1,a,30 COCKTAIL ROUNDS,0,100000000,3.691358642
18,0,b,36,1,a,16RISERS 6 X 8,0,100000000,4.878262442
4,0,b,6,1,a,66 ROUND TABLES,0,100000000,3.337332964
14,0,b,8,1,a,6 X 18 TABLES,0,100000000,0.900243666
4,0,b,1,1,a,8 X 18 TABLES,0,100000000,6.697999632
18,0,b,32,1,a,66 ROUND TABLES,0,100000000,1.696399034
22,0,b,35,1,a,6 X 30 TABLES,0,100000000,9.453776074
20,0,b,24,1,a,MEETING ROOM CHAIRS,0,100000000,2.302293185
16,0,b,30,1,a,PODIUMS,0,100000000,1.069748073
29,0,b,25,1,a,6 X 30 TABLES,0,100000000,8.543819994
25,1,b,t,2,a,8 X 30 TABLES,0,1000000000,0
22,0,b,17,1,a,16RISERS 6 X 8,0,100000000,7.736371106
23,0,b,32,1,a,8 X 30 TABLES,0,100000000,1.451543749
18,0,b,7,1,a,66 ROUND TABLES,0,100000000,2.672057216
1,0,b,3,1,a,6 X 18 TABLES,0,100000000,3.621339178
5,0,b,23,1,a,6 X 18 TABLES,0,100000000,1.711416834
31,0,b,7,1,a,30 STAND-UP ROUNDS,0,100000000,8.169239123
34,0,b,19,1,a,16RISERS 6 X 8,0,100000000,6.239826563
24,0,b,17,1,a,30 COCKTAIL ROUNDS,0,100000000,0.272618191
10,0,b,24,1,a,16RISERS 6 X 8,0,100000000,5.727219733
12,0,b,35,1,a,66 ROUND TABLES,0,100000000,8.239347021
23,0,b,19,1,a,6 X 30 TABLES,0,100000000,3.355550597
30,0,b,35,1,a,8 X 30 TABLES,0,100000000,6.437956829
15,0,b,26,1,a,MEETING ROOM CHAIRS,0,100000000,6.372626497
9,0,b,8,1,a,30 COCKTAIL ROUNDS,0,100000000,6.251989374
18,0,b,12,1,a,16RISERS 6 X 8,0,100000000,7.907357069
20,0,b,4,1,a,SETS OF STAGE STEPS,0,100000000,6.80020209
29,0,b,36,1,a,66 ROUND TABLES,0,100000000,8.939627928
18,0,b,4,1,a,SETS OF STAGE STEPS,0,100000000,8.387911242
7,0,b,29,1,a,8 X 30 TABLES,0,100000000,2.176547545
31,0,b,6,1,a,PODIUMS,0,100000000,5.839765257
15,0,b,6,1,a,SETS OF STAGE STEPS,0,100000000,8.79005477
4,0,b,27,1,a,8 X 18 TABLES,0,100000000,4.776305685
3,0,b,35,1,a,30 STAND-UP ROUNDS,0,100000000,0.584326806
19,0,b,30,1,a,MEETING ROOM CHAIRS,0,100000000,2.800040556
16,0,b,10,1,a,16RISERS 6 X 8,0,100000000,9.784629977
5,0,b,4,1,a,6 X 30 TABLES,0,100000000,9.200902252
28,0,b,33,1,a,30 COCKTAIL ROUNDS,0,100000000,1.421425577
18,0,b,24,1,a,30 COCKTAIL ROUNDS,0,100000000,2.341587173
12,0,b,20,1,a,6 X 18 TABLES,0,100000000,6.655692636
4,1,b,t,2,a,6 X 18 TABLES,0,1000000000,0
20,0,b,34,1,a,6 X 18 TABLES,0,100000000,4.680005068
8,0,b,30,1,a,SETS OF STAGE STEPS,0,100000000,8.583608129
11,0,b,16,1,a,SETS OF STAGE STEPS,0,100000000,5.902122239
20,1,b,t,2,a,30 STAND-UP ROUNDS,0,1000000000,0
36,0,b,27,1,a,30 COCKTAIL ROUNDS,0,100000000,0.077575032
28,0,b,2,1,a,16RISERS 6 X 8,0,100000000,6.10444181
19,0,b,19,1,a,16RISERS 6 X 8,0,100000000,0.279377216
13,0,b,36,1,a,6 X 18 TABLES,0,100000000,8.796994505
17,0,b,17,1,a,8 X 30 TABLES,0,100000000,6.521040435
14,0,b,18,1,a,8 X 18 TABLES,0,100000000,5.808261244
6,0,b,12,1,a,30 STAND-UP ROUNDS,0,100000000,8.095381718
15,0,b,24,1,a,8 X 18 TABLES,0,100000000,6.941223116
17,0,b,1,1,a,8 X 18 TABLES,0,100000000,8.523220299
24,0,b,16,1,a,8 X 30 TABLES,0,100000000,4.407603569
36,0,b,2,1,a,66 ROUND TABLES,0,100000000,3.547326492
15,0,b,6,1,a,16RISERS 6 X 8,0,100000000,8.79005477
5,0,b,4,1,a,66 ROUND TABLES,0,100000000,9.200902252
34,0,b,28,1,a,30 STAND-UP ROUNDS,0,100000000,7.581737049
28,0,b,32,1,a,MEETING ROOM CHAIRS,0,100000000,2.858603444
9,0,b,26,1,a,24RISERS 6 X 8,0,100000000,0.352126961
24,0,b,5,1,a,8 X 30 TABLES,0,100000000,7.357487541
23,0,b,7,1,a,8 X 18 TABLES,0,100000000,3.541185772
31,0,b,26,1,a,PODIUMS,0,100000000,3.148156353
24,0,b,10,1,a,30 COCKTAIL ROUNDS,0,100000000,3.64173222
36,0,b,11,1,a,8 X 18 TABLES,0,100000000,0.904160946
26,0,b,2,1,a,66 ROUND TABLES,0,100000000,7.310287481
29,0,b,1,1,a,6 X 18 TABLES,0,100000000,6.574435211
28,0,b,11,1,a,PODIUMS,0,100000000,9.602379
32,0,b,30,1,a,16RISERS 6 X 8,0,100000000,8.832721598
28,0,b,33,1,a,66 ROUND TABLES,0,100000000,1.421425577
2,0,b,36,1,a,66 ROUND TABLES,0,100000000,9.029841281
16,0,b,6,1,a,30 STAND-UP ROUNDS,0,100000000,2.203255468
7,0,b,27,1,a,SETS OF STAGE STEPS,0,100000000,6.27616608
2,0,b,33,1,a,24RISERS 6 X 8,0,100000000,7.571119886
27,0,b,23,1,a,30 STAND-UP ROUNDS,0,100000000,4.217170513
11,0,b,3,1,a,SETS OF STAGE STEPS,0,100000000,5.285394745
14,0,b,28,1,a,16RISERS 6 X 8,0,100000000,1.812803486
5,0,b,5,1,a,30 COCKTAIL ROUNDS,0,100000000,7.055062882
32,0,b,33,1,a,SETS OF STAGE STEPS,0,100000000,9.839120987
9,0,b,4,1,a,SETS OF STAGE STEPS,0,100000000,8.313731581
32,0,b,19,1,a,8 X 30 TABLES,0,100000000,6.442170465
21,0,b,21,1,a,PODIUMS,0,100000000,5.303790415
33,0,b,5,1,a,30 STAND-UP ROUNDS,0,100000000,2.288647396
8,0,b,22,1,a,16RISERS 6 X 8,0,100000000,6.65043929
1,0,b,25,1,a,30 STAND-UP ROUNDS,0,100000000,6.443746593
1,0,b,3,1,a,8 X 30 TABLES,0,100000000,3.621339178
29,0,b,36,1,a,24RISERS 6 X 8,0,100000000,8.939627928
3,0,b,32,1,a,PODIUMS,0,100000000,6.348136967
7,0,b,35,1,a,8 X 30 TABLES,0,100000000,3.1781296
11,0,b,10,1,a,66 ROUND TABLES,0,100000000,3.629950454
34,0,b,1,1,a,6 X 18 TABLES,0,100000000,5.567612943
14,0,b,32,1,a,16RISERS 6 X 8,0,100000000,9.953683688
22,0,b,35,1,a,66 ROUND TABLES,0,100000000,9.453776074
34,0,b,28,1,a,8 X 30 TABLES,0,100000000,7.581737049
