Xi,Yi,Zi,Xj,Yj,Zj,Item,Lij,Uij,Cij
7,1,a,7,1,b,MEETING ROOM CHAIRS,188,188,0
1,1,a,1,1,b,8 X 30 TABLES,1,1,0
3,1,a,3,1,b,PODIUMS,1,1,0
10,1,a,10,1,b,6 X 30 TABLES,2,2,0
13,1,a,13,1,b,6 X 30 TABLES,2,2,0
14,1,a,14,1,b,MEETING ROOM CHAIRS,622,622,0
16,1,a,16,1,b,66 ROUND TABLES,11,11,0
3,1,a,3,1,b,8 X 30 TABLES,2,2,0
6,1,a,6,1,b,SETS OF STAGE STEPS,2,2,0
25,1,a,25,1,b,8 X 30 TABLES,12,12,0
2,1,a,2,1,b,MEETING ROOM CHAIRS,12,12,0
14,1,a,14,1,b,30 STAND-UP ROUNDS,5,5,0
16,1,a,16,1,b,MEETING ROOM CHAIRS,41,41,0
12,1,a,12,1,b,8 X 30 TABLES,4,4,0
9,1,a,9,1,b,16RISERS 6 X 8,2,2,0
25,1,a,25,1,b,MEETING ROOM CHAIRS,52,52,0
22,1,a,22,1,b,PODIUMS,1,1,0
26,1,a,26,1,b,PODIUMS,1,1,0
17,1,a,17,1,b,MEETING ROOM CHAIRS,180,180,0
22,1,a,22,1,b,6 X 30 TABLES,2,2,0
5,1,a,5,1,b,6 X 30 TABLES,6,6,0
19,1,a,19,1,b,PODIUMS,1,1,0
20,1,a,20,1,b,MEETING ROOM CHAIRS,202,202,0
4,1,a,4,1,b,MEETING ROOM CHAIRS,12,12,0
13,1,a,13,1,b,MEETING ROOM CHAIRS,228,228,0
5,1,a,5,1,b,MEETING ROOM CHAIRS,12,12,0
15,1,a,15,1,b,MEETING ROOM CHAIRS,20,20,0
20,1,a,20,1,b,SETS OF STAGE STEPS,1,1,0
17,1,a,17,1,b,66 ROUND TABLES,18,18,0
13,1,a,13,1,b,SETS OF STAGE STEPS,1,1,0
9,1,a,9,1,b,MEETING ROOM CHAIRS,364,364,0
21,1,a,21,1,b,24RISERS 6 X 8,2,2,0
1,1,a,1,1,b,8 X 18 TABLES,3,3,0
10,1,a,10,1,b,SETS OF STAGE STEPS,1,1,0
9,1,a,9,1,b,SETS OF STAGE STEPS,2,2,0
9,1,a,9,1,b,66 ROUND TABLES,3,3,0
2,1,a,2,1,b,PODIUMS,1,1,0
6,1,a,6,1,b,MEETING ROOM CHAIRS,188,188,0
9,1,a,9,1,b,8 X 18 TABLES,12,12,0
26,1,a,26,1,b,16RISERS 6 X 8,2,2,0
2,1,a,2,1,b,8 X 30 TABLES,7,7,0
15,1,a,15,1,b,6 X 30 TABLES,10,10,0
6,1,a,6,1,b,PODIUMS,2,2,0
4,1,a,4,1,b,6 X 30 TABLES,6,6,0
9,1,a,9,1,b,8 X 30 TABLES,2,2,0
